HIP ID,RAJ2000,DEJ2000,Gmag,Plx,Teff,PM,Absolute Magnitude
305,NULL,NULL,NULL,NULL,NULL,NULL,NULL
304,0.96979537998,22.29605341966,8.257994,5.4146,10111.9,7.535,1.9258258946411875
303,0.96930283638,57.37828060228,8.109643,3.9646,7802.8,32.105,1.10063988316608
308,0.98373955516,14.37886550341,7.028296,12.8467,7105.1,82.731,2.572253912325772
309,NULL,NULL,NULL,NULL,NULL,NULL,NULL
307,0.98001371951,-42.55948147971,11.076654,14.7274,--,91.922,6.917284412651889
302,0.96517142367,66.71218558856,5.30059,3.4444,--,11.565,-2.013842097204864
310,0.9877648598,-43.19181125277,9.415139,11.4851,5680.3,165.339,4.715812904603035
311,0.987633588,36.9702527084,8.330143,8.2447,6423.6,22.31,2.9110172879469918
313,NULL,NULL,NULL,NULL,NULL,NULL,NULL
315,NULL,NULL,NULL,NULL,NULL,NULL,NULL
312,0.98959385274,61.10363723167,8.485552,0.3284,6287.1,2.063,-3.9324322577629847
314,0.99164771852,20.95373338602,8.169074,5.3955,--,46.663,1.8292324843709613
317,1.00332719299,-80.39511330343,7.862516,5.6692,7118.0,58.644,1.6301248922614695
316,1.00104013597,12.14579707797,7.202559,5.3417,7189.9,23.063,0.8409564678435411
318,1.00964818381,-38.59475270459,9.177074,1.9161,4864.8,7.826,0.5891648543882368
320,1.02135233116,-16.99765100975,11.990829,0.4931,5877.9,33.506,0.4555040126556893
319,1.01581027238,62.22194700024,8.087064,0.3405,--,2.346,-4.252350418755981
321,1.03297060601,-25.89266268924,8.802216,12.8149,5886.0,120.088,4.3407921077641545
322,1.0351050962,56.92098564006,7.377583,4.0318,5213.2,17.357,0.4050779025907527
324,1.04240754986,17.436642133,8.429687,7.3079,6377.0,56.046,2.7486499795647
323,1.04269470533,49.87018076874,7.120844,4.989,5055.5,14.042,0.6109115196959074
325,NULL,NULL,NULL,NULL,NULL,NULL,NULL
326,1.04482502547,11.26437522912,8.039781,0.888,--,7.887,-2.2181541711069954
328,NULL,NULL,NULL,NULL,NULL,NULL,NULL
329,NULL,NULL,NULL,NULL,NULL,NULL,NULL
327,1.04622222068,-4.92610852726,9.498008,3.1696,7086.5,24.148,2.003030290972359
330,1.05692688757,62.28766423081,5.807129,1.3781,--,0.972,-3.4964673364073775
333,NULL,NULL,NULL,NULL,NULL,NULL,NULL
334,1.06383448294,60.1550138811,8.743817,0.4804,21305.7,5.5,-2.8481680063456576
331,1.05953476949,-26.95238643796,10.479605,0.4124,--,16.805,-1.4438017169426072
332,1.06103389334,-34.41471127199,8.28682,7.4908,6007.8,71.627,2.659461009079579
336,1.06663861371,65.15299026433,6.605076,2.9917,--,16.97,-1.0153337928026573
337,NULL,NULL,NULL,NULL,NULL,NULL,NULL
335,1.06607248876,14.08154193988,8.843518,4.4716,--,40.129,2.0958327374035095
340,NULL,NULL,NULL,NULL,NULL,NULL,NULL
